cost,approximation_ratio,variance,gradients
0.0,-0.0,,"[ 0.00000000e+00 -6.53816753e-34  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]"
0.0,-0.0,,"[-6.08925122e-34  0.00000000e+00  0.00000000e+00 -4.00415673e-34
  0.00000000e+00  0.00000000e+00 -6.08925122e-34  0.00000000e+00]"
0.0,-0.0,,"[-9.84922683e-35 -5.00000000e-01 -9.84922683e-35  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00 -9.84922683e-35]"
-0.24740395925452185,0.24740395925452185,,"[-4.84456211e-01  0.00000000e+00  0.00000000e+00 -1.38777878e-17
  0.00000000e+00  0.00000000e+00 -1.38777878e-17  0.00000000e+00]"
-0.47259064897604525,0.47259064897604525,,"[-4.40641033e-01  0.00000000e+00  3.90312782e-17  0.00000000e+00
  4.07660017e-17  0.00000000e+00  3.90312782e-17  0.00000000e+00]"
-0.6537644295067813,0.6537644295067813,,"[-4.16333634e-17  0.00000000e+00 -3.78349069e-01  6.93889390e-18
  6.93889390e-18 -2.77555756e-17  0.00000000e+00  0.00000000e+00]"
-0.7843968770998015,0.7843968770998015,,"[-3.10129626e-01  0.00000000e+00 -2.77555756e-17  0.00000000e+00
 -3.10129626e-01 -3.10129626e-01 -3.10129626e-01 -2.77555756e-17]"
-0.9988088372004164,0.9988088372004164,,"[ 0.00000000e+00  0.00000000e+00 -5.55111512e-17 -4.16333634e-17
 -4.16333634e-17  5.55111512e-17  5.55111512e-17 -5.55111512e-17]"
-0.9988088372004164,0.9988088372004164,,"[ 0.00000000e+00  0.00000000e+00  6.93889390e-17  0.00000000e+00
  0.00000000e+00 -2.43972679e-02  0.00000000e+00  0.00000000e+00]"
-0.9993297353335299,0.9993297353335299,,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 5.55111512e-17 0.00000000e+00]"
